Name,Brand,Model,Year,KM Driven,Fuel,Transmission,Ownership,Price,Location
Renault Kwid,Renault,Kwid,2018,51940,Petrol,Auto,1,322000,"Kompally, Hyderabad"
Renault TRIBER,Renault,TRIBER,2022,24010,Petrol,Auto,1,531000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Alto 800,Maruti,Alto 800,2019,51410,Petrol,Manual,1,251000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Honda WR-V,Honda,WR-V,2017,100165,Petrol,Manual,1,422000,"Bachupally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2018,75401,Petrol,Auto,1,483000,"Bachupally, Hyderabad"
Maruti Vitara Brezza,Maruti,Vitara Brezza,2020,122979,Petrol,Manual,2,637000,"Kompally, Hyderabad"
Maruti Vitara Brezza,Maruti,Vitara Brezza,2019,62836,Diesel,Auto,1,777519,"Kompally, Hyderabad"
Ford Ecosport,Ford,Ecosport,2016,142699,Diesel,Manual,1,435000,"Kompally, Hyderabad"
Maruti Baleno,Maruti,Baleno,2019,77135,Petrol,Manual,1,520175,"Bachupally, Hyderabad"
Maruti Dzire,Maruti,Dzire,2018,68893,Petrol,Manual,1,475000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Swift,Maruti,Swift,2016,77854,Diesel,Manual,1,411000,"Upperpally, Attapur, Hyderabad"
Tata ALTROZ,Tata,ALTROZ,2021,75831,Diesel,Manual,2,590000,"Kompally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2016,114940,Petrol,Manual,1,412000,"Kompally, Hyderabad"
Hyundai Creta,Hyundai,Creta,2019,53091,Diesel,Auto,1,799000,"Kompally, Hyderabad"
Maruti Baleno,Maruti,Baleno,2018,39561,Petrol,Manual,1,480000,"Kompally, Hyderabad"
Mahindra Thar,Mahindra,Thar,2021,40525,Petrol,Auto,1,1000000,"Upperpally, Attapur, Hyderabad"
Maruti S Cross,Maruti,S Cross,2018,82043,Diesel,Manual,1,671237,"Kompally, Hyderabad"
Tata Tiago,Tata,Tiago,2018,121475,Petrol,Manual,1,291000,"Kompally, Hyderabad"
Maruti Celerio,Maruti,Celerio,2018,44980,Petrol,Auto,1,343000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2017,35880,Petrol,Manual,1,314000,"Bachupally, Hyderabad"
Maruti Celerio,Maruti,Celerio,2015,56228,Petrol,Auto,2,274735,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2016,46215,Petrol,Manual,1,226000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
